Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,0.35,1.01,-0.97,-0.91,-1.3,0.96,1.24,1.16,-1.4,0.05,0.39,-0.17
1896,0.74,-1.24,-0.95,0.5,-0.79,0.37,1.14,-1.31,0.31,0.66,-0.02,0.09
1897,1.1,0.41,-0.36,1.22,0.05,-0.81,-0.86,0.82,-0.38,0.21,-1.2,-0.12
1898,1.21,-0.07,-0.4,0.57,1.06,0.66,0.96,0.49,-0.05,-0.13,-0.13,1.51
1899,-0.52,-0.9,-0.26,-1.11,0.02,1.1,1.48,-1.22,0.61,0.56,0.84,0.4
1900,-0.6,0.85,-0.74,1.52,-0.16,-0.53,-0.01,-1.02,1.92,0.31,-0.97,-1.03
1901,-0.6,0.02,-0.5,1.15,-0.45,-1.26,-0.78,-0.55,-0.03,0.85,-0.85,-0.96
1902,0.19,-0.62,0.78,-0.75,1.88,0.13,0.05,0.47,-0.41,0.14,0.35,0.24
1903,-0.81,1.59,-0.31,0.1,1.25,-1.24,-0.9,0.15,-0.86,0.77,-0.3,-1.44
1904,-1.27,-1.45,-0.88,-0.07,0.69,0.81,1.55,0.47,0.07,-0.75,-1.09,0.45
1905,0.68,-0.24,0.97,0.64,0.16,-0.34,1.14,0.08,0.92,-0.51,1.28,-1.15
1906,0,-0.29,0.15,0.4,-0.74,-0.46,1.68,1.24,1.55,0.89,0.93,0.17
1907,1.84,-0.48,-1.15,-0.3,-0.55,0.65,1.42,0.38,-0.9,1.17,-0.31,1.35
1908,-0.73,0.77,-0.46,-0.4,0.01,1.74,0.61,-0.13,0.59,0.18,1.1,-1.49
1909,-0.67,-0.97,0.16,-1.59,0.48,0.3,-0.13,-1.26,0.21,0.67,2.41,-0.27
1910,0.56,-0.58,-1.63,-0.33,-0.77,-1.21,-0.64,1.05,-1.34,-0.94,-1.31,-0.84
1911,-1.17,2.34,-1.63,-0.64,0.38,-1.96,0.97,1.04,-0.13,-0.24,-0.17,1.81
1912,-1.29,1.52,0.21,0.29,-0.49,0.35,-0.54,0.78,0.63,-0.38,-1.06,-0.91
1913,-0.54,1.16,-0.78,-0.46,-0.82,-0.08,-0.94,-1.69,1.88,-0.44,1.31,1.77
1914,-1.17,-0.32,-1.05,-0.11,0.68,-0.93,-0.18,0.28,-0.98,0.22,-1.31,-0.18
1915,0.75,1.67,0.01,1.43,1.04,1.45,0.08,1.01,1.55,0.59,-0.72,-1.01
1916,0.99,-1.37,-0.85,0.46,-0.92,1.37,-1.79,-0.75,0.25,-0.27,0.27,-0.3
1917,-0.72,-1.42,-0.94,0.17,-0.79,-1.09,-0.8,1.95,0.02,-1.61,-0.21,-0.9
1918,0.26,-0.91,1.04,0.6,0.59,-0.83,-0.41,-0.87,-0.22,1.14,0.44,1.99
1919,-1.39,1.33,0.49,0.98,-0.13,0.26,-1.19,-0.81,-1.1,-0.34,1.01,-1.2
1920,-0.17,-1.02,-0.03,-0.54,0.11,-0.81,0.72,1.24,1.08,1.3,0.93,1.09
1921,0.93,-0.23,-0.34,0.66,-1.27,1.72,0.18,0.35,0.46,-1.56,-1.31,-0.65
1922,0.6,0.69,1.71,1.45,0.48,-1.42,0.21,-0.65,-0.03,-0.63,1.09,-1.49
1923,-1.52,-1.35,0.08,0.02,1.35,1.23,-1.08,-1.54,1.77,2.02,0.09,-0.15
1924,-1.32,-0.21,1.35,1.24,-1.48,-1.08,0.71,0.26,0.16,0.28,0.25,0.62
1925,-0.28,-1.17,-1.04,0.83,-1.23,-0.1,0.37,0.13,1.29,-0.39,0.98,-0.9
1926,0.57,-0.43,0.64,-0.4,-0.78,-0.16,0.55,0.16,1.01,0.73,0.15,0.47
1927,-0.56,-0.04,0.6,0.74,-1.26,0.27,0.85,1.8,-0.17,-1.06,-1.17,-0.57
1928,-1.3,1.39,0.22,0.65,0.56,0.92,0.33,-0.61,-1.14,0.77,1.83,1.04
1929,0.94,-0.12,0.16,-0.64,0.08,-0.45,0.33,-0.88,0.71,0.68,1.37,-1.49
1930,0.29,-1.45,-1.35,0.23,0.6,-0.71,-0.72,-0.97,-0.28,0.83,0.64,-0.11
1931,-0.65,0.06,1.56,0.69,0.01,-0.93,-0.85,-0.5,-0.01,-0.23,1.75,-0.29
1932,1.2,0,-0.66,0.43,-0.81,1.52,-0.91,0.14,-0.58,-0.92,-1.16,0.74
1933,-1.17,-0.88,-0.74,0.31,-0.74,-1.87,-0.32,0.92,-0.69,-0.44,-0.4,0.01
1934,0.57,0.37,0.1,-0.62,-0.81,-0.22,-1.5,-0.6,1.12,-0.27,0.73,0.1
1935,0.51,0,-0.07,-1.78,1.6,-0.39,-1.69,-0.05,-0.31,0.01,0.83,-0.53
1936,0.43,-1.29,-1.63,-1.14,0.86,-0.56,-1.76,-1.87,1.49,0.19,-1.31,0.67
1937,0.64,-0.25,0.16,-1.64,-0.01,-0.06,-1.25,-0.45,-0.09,0.36,-0.97,-0.61
1938,-1.52,1.08,0.43,1.17,1.72,-0.11,-0.27,0.04,0.2,-1.46,0.39,-0.72
1939,1.68,0.25,0.38,0.18,-1.24,0.6,-0.97,-0.17,-1.82,-1.34,-0.76,0.42
1940,0.61,0.9,-1.22,0.31,-0.1,-0.67,-0.59,0.6,0.18,-0.89,1.37,0.41
1941,1.29,1.29,0.31,0.84,0.71,0.48,0.38,0.17,1.02,2.25,-0.27,-0.22
1942,-0.47,0.41,0.19,1.66,-1.24,0.23,-0.44,0.86,0.18,1.5,-1.09,0.94
1943,-1.05,-0.52,-0.88,-0.59,0.56,-1.09,-0.83,-1.2,-0.86,-0.04,-0.86,1.81
1944,0.71,0.82,0.44,1.68,0.07,-1.47,1.06,1.01,0.09,0.57,0.66,1.41
1945,1.4,0.17,0.49,1.61,-1.31,-0.2,-0.1,-0.38,1.68,-0.88,-1.31,-0.69
1946,0,1.28,0.4,-0.91,-0.44,-1.11,-1.45,-0.11,-0.59,1.59,1.14,0.53
1947,0.27,-1.09,1.04,1.82,0.86,-0.83,-0.16,-0.28,-1.48,-1.06,0.32,1.57
1948,-0.08,1.88,0.66,-0.83,-1.63,1.17,0.49,1.73,-0.84,-1.08,1.32,-1.13
1949,2.36,1.04,0.45,-0.43,1.58,0.81,1.25,-0.13,1.01,0.31,-1.31,0.44
